question_id,review_type,final_disposition_category,evidence_tier,reviewer_role,signoff_date,effect_on_strict_panel,effect_on_family_masked_panel,effect_on_pragmatic_panel,unresolved_flag
ARCH_DIAM_LEVEL,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
ASCENDING_AORTA_CONVENTION,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
INF_LAT_THICKNESS_DEFINITION,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
IVC_DIAM_CONTEXT,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
LA_DIMEN_PLANE,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
MITRAL_E_FIELD_RELATIONSHIP,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
SINUS_DIAM_CONVENTION,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
TR_MMHG_DEFINITION,CLINICAL_SIGNOFF,PENDING,PENDING,,,,,,TRUE
BSA_FORMULA_WEIGHT_AVAILABILITY,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
DIMENSION_CM_MM_UNITS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
LVEDV_LVESV_FIELDS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
LVEF_ALIASES,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
LVEF_METHOD_MIXTURE,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
LV_MASS_RWT_FIELDS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
MITRAL_EA_EEPRIME_RATIO_FIELDS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
VELOCITY_MPS_CMPS_UNITS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
WALL_MOTION_FIELDS,TECHNICAL_PIPELINE_REVIEW,PENDING,PENDING,,,,,,TRUE
